#Average polarization				Separate polarizations						
#Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75 incidence reflectance"
539.054138	0.336407	0.334885	0.418693	539.054138	0.098589	0.574226	0.007361	0.662409	0.075713	0.761673
540.644897	0.336262	0.335266	0.41949	540.644897	0.098328	0.574195	0.007291	0.663241	0.07625	0.76273
542.235596	0.335333	0.335034	0.418548	542.235596	0.097905	0.572761	0.007261	0.662807	0.076366	0.76073
543.826294	0.335423	0.334849	0.418636	543.826294	0.097873	0.572973	0.007126	0.662572	0.076508	0.760764
545.416992	0.335027	0.334594	0.418707	545.416992	0.097452	0.572603	0.00715	0.662038	0.076805	0.760608
547.00769	0.334736	0.33475	0.418875	547.00769	0.097106	0.572365	0.007055	0.662445	0.076972	0.760778
548.598267	0.333849	0.333903	0.417612	548.598267	0.096797	0.5709	0.006988	0.660818	0.076903	0.758321
550.188904	0.334045	0.333744	0.41807	550.188904	0.096518	0.571572	0.006866	0.660622	0.07709	0.759051
551.779541	0.333416	0.333932	0.418388	551.779541	0.096214	0.570618	0.00683	0.661034	0.077439	0.759338
553.370117	0.333208	0.33334	0.419114	553.370117	0.096164	0.570251	0.006814	0.659866	0.077894	0.760335
554.960693	0.333457	0.333274	0.419086	554.960693	0.095624	0.571289	0.006704	0.659845	0.077851	0.760322
556.55127	0.333055	0.333173	0.419283	556.55127	0.095478	0.570631	0.006616	0.659731	0.078473	0.760093
558.141785	0.332505	0.332823	0.419006	558.141785	0.095089	0.569921	0.006624	0.659022	0.078605	0.759407
559.7323	0.33189	0.332054	0.418047	559.7323	0.09483	0.568949	0.006521	0.657587	0.078613	0.757481
561.322815	0.331405	0.332123	0.418837	561.322815	0.094495	0.568314	0.006462	0.657784	0.078946	0.758729
562.913269	0.330759	0.332167	0.419723	562.913269	0.094136	0.567383	0.006474	0.65786	0.079348	0.760098
564.503723	0.329893	0.332341	0.419404	564.503723	0.093603	0.566184	0.006398	0.658284	0.079482	0.759327
566.094116	0.329206	0.332118	0.418482	566.094116	0.093092	0.56532	0.006357	0.657879	0.079685	0.757279
