Average polarization				Separate polarizations
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
539.054138	0.343993	0.381123	0.396519	539.054138	0.115472	0.572513	0.034564	0.727683	0.014459	0.778579
540.644897	0.344464	0.381345	0.39715	540.644897	0.115395	0.573532	0.034527	0.728162	0.014708	0.779592
542.235596	0.345074	0.381855	0.39792	542.235596	0.115372	0.574776	0.034498	0.729212	0.014894	0.780947
543.826294	0.343899	0.380351	0.397829	543.826294	0.114895	0.572903	0.034328	0.726375	0.015136	0.780522
545.416992	0.343692	0.379055	0.397508	545.416992	0.114429	0.572955	0.033995	0.724116	0.015538	0.779477
547.00769	0.343728	0.378955	0.397789	547.00769	0.114087	0.573369	0.033912	0.723997	0.015789	0.77979
548.598267	0.34301	0.37882	0.397964	548.598267	0.113799	0.57222	0.033774	0.723867	0.016061	0.779866
550.188904	0.342716	0.378222	0.397568	550.188904	0.113265	0.572168	0.033548	0.722896	0.01634	0.778797
551.779541	0.34138	0.377074	0.397085	551.779541	0.112966	0.569795	0.033335	0.720813	0.016723	0.777447
553.370117	0.340597	0.376643	0.397122	553.370117	0.112183	0.569012	0.03305	0.720235	0.016915	0.777329
554.960693	0.340551	0.376547	0.396682	554.960693	0.112337	0.568765	0.032869	0.720225	0.017193	0.776171
556.55127	0.340382	0.376635	0.396795	556.55127	0.1119	0.568863	0.032739	0.72053	0.017505	0.776086
558.141785	0.340796	0.377156	0.397949	558.141785	0.111725	0.569866	0.032591	0.721722	0.017812	0.778087
559.7323	0.340029	0.376719	0.397701	559.7323	0.111103	0.568954	0.032499	0.720938	0.018163	0.777239
561.322815	0.339076	0.375789	0.397802	561.322815	0.110596	0.567556	0.032191	0.719388	0.018551	0.777053
562.913269	0.33927	0.37465	0.397432	562.913269	0.110501	0.568039	0.032078	0.717222	0.018909	0.775955
564.503723	0.338866	0.374578	0.397981	564.503723	0.110225	0.567507	0.031791	0.717366	0.019374	0.776588
566.094116	0.338676	0.374741	0.398197	566.094116	0.109899	0.567452	0.031464	0.718018	0.019648	0.776746
