Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
437.226501	0.578672	0.595418	0.526811	437.226501	0.416353	0.740991	0.330316	0.86052	0.152035	0.901587
438.817688	0.580243	0.596866	0.526734	438.817688	0.41813	0.742356	0.331659	0.862074	0.152296	0.901171
440.408844	0.580929	0.596999	0.526608	440.408844	0.419232	0.742627	0.331959	0.862039	0.152261	0.900954
442.000061	0.582383	0.598027	0.527394	442.000061	0.420436	0.74433	0.333492	0.862561	0.152803	0.901985
443.591217	0.582838	0.599137	0.528198	443.591217	0.421143	0.744534	0.334438	0.863836	0.153155	0.903242
445.182373	0.584219	0.600405	0.528466	445.182373	0.422637	0.745801	0.335901	0.864909	0.153577	0.903355
446.773529	0.584558	0.601015	0.527825	446.773529	0.423183	0.745933	0.336635	0.865395	0.153334	0.902315
448.364685	0.585555	0.601665	0.528091	448.364685	0.424055	0.747055	0.337027	0.866303	0.153436	0.902746
449.955902	0.586457	0.601503	0.52846	449.955902	0.425042	0.747871	0.337351	0.865656	0.153497	0.903423
451.547058	0.586157	0.601792	0.528516	451.547058	0.42478	0.747535	0.33798	0.865604	0.153403	0.903629
453.138245	0.586374	0.60338	0.528587	453.138245	0.425289	0.74746	0.339249	0.867512	0.153751	0.903422
454.729431	0.587858	0.603742	0.529293	454.729431	0.426714	0.749002	0.339789	0.867694	0.154317	0.90427
456.320618	0.587891	0.604468	0.529103	456.320618	0.427187	0.748595	0.340708	0.868227	0.154515	0.90369
457.911774	0.589789	0.604945	0.529196	457.911774	0.42879	0.750789	0.341162	0.868728	0.154664	0.903727
459.502991	0.589824	0.605869	0.528445	459.502991	0.42893	0.750718	0.341458	0.87028	0.154328	0.902562
461.094147	0.589904	0.606795	0.528684	461.094147	0.429441	0.750367	0.342675	0.870916	0.15448	0.902888
462.685303	0.59059	0.607329	0.528906	462.685303	0.429951	0.751229	0.343584	0.871073	0.154275	0.903537
464.276459	0.591733	0.607296	0.529012	464.276459	0.43082	0.752645	0.342961	0.871632	0.154534	0.903491
465.867676	0.591328	0.607453	0.528696	465.867676	0.43089	0.751765	0.343627	0.871278	0.154421	0.902971
467.458832	0.591724	0.608386	0.528096	467.458832	0.431472	0.751976	0.344374	0.872397	0.154589	0.901603
469.049988	0.591821	0.607838	0.528133	469.049988	0.431061	0.752581	0.344064	0.871611	0.154323	0.901943
470.641174	0.591691	0.607821	0.52789	470.641174	0.431236	0.752145	0.344224	0.871419	0.154333	0.901447
